"indexbrawddeg","yfrawddeg","numberunits","valueunits","mediumval","rel_mediumval","mediumval_sq","rel_mediumval_sq","mediumval_nusq","rel_mediumval_nusq","mediumval_sq_nusq","rel_mediumval_sq_nusq","mediumval_hnu","rel_mediumval_hnu","mediumval_sq_hnu","rel_mediumval_sq_hnu","finished","tagref","tagcategory","tagfunction"
"331"," A phan daruu y wled, Arglwyd, heb y Pwyll wrth Heueyd, mi a gychwynnaf, gan dy gannyat, parth a Dyuet auore","21","0.564137","0.0268637","0.131319","0.0151548","0.36214","0.00127922","0.0062533","0.000721656","0.0172448","0.00000000657762","0.0000000321538","0.00000000371068","0.0000000886707","1",,,
"332"," Ie, heb Heueyd, Duw a rwydhao ragot; a gwna oet a chyfnot y del Riannon i th ol","18","0.451959","0.0251088","0.122743","0.0113482","0.271187","0.00139494","0.00681907","0.000630454","0.0150659","0.0000000132881","0.0000000649584","0.00000000600569","0.000000143518","1",,,
"333"," Y rof i a Duw, heb ynteu Pwyll, y gyt y kerdwn odymma","13","0.462074","0.0355442","0.17374","0.016424","0.392412","0.00273417","0.0133646","0.00126339","0.0301856","0.0000000957307","0.000000467932","0.0000000442347","0.00000105688","1",,,
"334"," Ay uelly y mynny di, Arglwyd?","6","0.111414","0.018569","0.0907628","0.00206885","0.0494274","0.00309484","0.0151271","0.000344808","0.00823789","0.00000238799","0.0000116722","0.000000266056","0.0000063564","1",,,
"335"," heb yr Heueyd","3","0.035305","0.0117683","0.057517","0.000415481","0.00992462","0.00392278","0.0191723","0.000138494","0.00330821","0.0000484294","0.000236695","0.0000017098","0.000040842","1",,,
"336"," Uelly, y rof a Duw, heb y Pwyll","8","0.342119","0.0427649","0.209038","0.0146307","0.349577","0.00534561","0.0261298","0.00182884","0.0436971","0.00000130508","0.00000637935","0.000000446494","0.0000106682","1",,,
"337"," Wynt a gerdassant trannoeth parth a Dyuet, a Llys Arberth a gyrchyssant, a gwled darparedic oed yno udunt","18","0.52063","0.0289239","0.141404","0.0150586","0.35991","0.00160688","0.00785576","0.00083659","0.019995","0.0000000153071","0.0000000748339","0.00000000796935","0.000000190472","1",,,
"338"," Dygyuor y wlat a r kyuoeth a doeth attunt o r gwyr goreu a r gwraged goreu","17","0.478992","0.028176","0.137736","0.0134961","0.322508","0.00165741","0.00810209","0.000793887","0.0189711","0.0000000198443","0.0000000970066","0.00000000950524","0.000000227141","1",,,
"339"," Na gwr na gwreic o hynny nyt edewis Riannon, heb rodi rod enwauc idaw, ae o gae, ae o uodrwy, ae o uaen guerthuawr","24","0.126946","0.00528943","0.0258553","0.000671474","0.0160439","0.000220393","0.00107731","0.0000279781","0.000668498","0.000000000664283","0.00000000324709","0.0000000000843283","0.00000000201491","1",,,
"340"," Gwledychu y wlat a wnaethont yn llwydannus y ulwydyn honno, a r eil","13","0.451605","0.0347389","0.169814","0.0156882","0.37488","0.00267222","0.0130627","0.00120679","0.028837","0.0000000935618","0.00000045736","0.000000042253","0.00000100966","1",,,
"341"," Ac yn [y] dryded ulwydyn, y dechreuis gwyr y wlat dala trymuryt yndunt, o welet gwr kymeint a gerynt a e harglwyd ac eu brawduaeth, yn dietiued; a e dyuynnu attunt a wnaethont","33","0.845449","0.0256197","0.125242","0.0216601","0.517624","0.000776353","0.00379521","0.000656367","0.0156856","0.000000000654642","0.00000000320022","0.000000000553466","0.0000000132265","1",,,
"342"," Sef lle y doethont y gyt, y Bresseleu yn Dyuet","10","0.336919","0.0336919","0.164683","0.0113514","0.271205","0.00336919","0.0164683","0.00113514","0.0271205","0.000000336919","0.00000164683","0.000000113514","0.00000271205","1",,,
"343"," Arglwyd, heb wynt, ni a wdom na bydy gyuoet ti a rei o wyr y wlat honn, ac yn ouyn ni yw, na byd it etiued o r wreic yssyd gennyt","31","0.469558","0.015147","0.0740462","0.00711241","0.169968","0.000488614","0.00238859","0.000229432","0.00548285","0.000000000529077","0.00000000258639","0.000000000248432","0.00000000593689","1",,,
"344"," Ac wrth hynny, kymmer wreic arall y bo ettiued yt ohonei","11","0.149015","0.0135468","0.0662184","0.00201867","0.0482336","0.00123152","0.00601985","0.000183515","0.00438488","0.0000000841148","0.000000411164","0.0000000125343","0.000000299493","1",,,
"345"," Nyt byth, heb wynt, y perhey di, a chyt kerych di uot yuelly, nys diodefwn y gennyt","17","0.342884","0.0201696","0.0985911","0.00691585","0.165244","0.00118645","0.00579948","0.000406814","0.00972021","0.0000000142054","0.0000000694374","0.0000000048708","0.00000011638","1",,,
"346"," Ie, heb y Pwyll, nyt hir ettwa yd ym y gyt, a llawer damwein a digawn bot","17","0.453511","0.0266771","0.130404","0.0120984","0.289088","0.00156924","0.00767082","0.000711668","0.0170052","0.0000000187886","0.000000091843","0.00000000852083","0.000000203604","1",,,
